"fit","upr","lwr"
"73",511.405947801094,1162.73166412368,-139.919768521497
"74",358.493495211669,1009.92373615272,-292.936745729378
"75",464.012283701861,1115.54821495381,-187.523647550088
"76",358.831663199473,1010.47445653896,-292.81113014001
"77",439.207318835207,1090.95815211275,-212.543514442339
"78",390.276193912062,1042.13625104171,-261.583863217585
"79",423.064853048758,1075.03532399756,-228.905617900043
"80",426.423744712556,1078.50582548999,-225.658336064878
"81",425.544947333571,1077.73983998085,-226.649945313706
"82",449.376470841825,1101.68538342109,-202.932441737439
"83",516.830442804058,1169.25458938749,-135.593703779376
"84",516.847108979334,1169.38770963816,-135.69349167949
"85",446.887900529044,1099.54618132242,-205.770380264328
"86",575.717920704067,1228.49511366788,-77.0592722597434
"87",469.29489599323,1122.19223912879,-183.602447142334
"88",427.828611485076,1080.84734874773,-225.190125777576
"89",478.335251782611,1131.47663307019,-174.806129504971
"90",556.327322420954,1209.5926035622,-96.937958720288
"91",466.654307991158,1120.04475073397,-186.736134751651
"92",596.572735022351,1250.08960702199,-56.9441369772877
"93",385.762747341399,1039.40732214856,-267.881827465763
"94",520.168002131456,1173.94155918024,-133.605554917328
"95",530.470418250214,1184.374242846,-123.433406345568
"96",492.767904144562,1146.80328745176,-161.267479162641
"97",520.017672372964,1174.18591140272,-134.150566656788
"98",540.375788240508,1194.67818583821,-113.926609357195
"99",511.51191655927,1165.94978139205,-142.925948273514
"100",570.45295662079,1225.02760316487,-84.1216899232865
"101",537.004622327512,1195.22682165555,-121.217577000528
"102",482.793510034775,1141.15439416963,-175.567374100083
"103",561.722810869278,1220.22370485651,-96.7780831179531
"104",548.151715852441,1206.79395047329,-110.490518768402
"105",524.026634913451,1182.81154667187,-134.758276844968
"106",663.220250412928,1322.14918152254,4.29131930331584
"107",516.658105553458,1175.73240392437,-142.416192817453
"108",625.608574441279,1284.82959366681,-33.6124447842576
"109",510.736293843296,1170.10539318663,-148.632805500037
"110",499.12025776492,1158.6388021456,-160.398286615758
"111",496.839093191913,1156.50845317228,-162.830266788455
"112",486.477417828718,1146.29896960024,-173.344133942809
"113",432.461051109068,1092.43617647857,-227.514074260432
"114",528.988011540383,1189.11809791614,-131.142074835371
"115",452.210419850944,1112.49686022872,-208.076020526829
"116",509.120913024867,1169.56510597383,-151.323279924093
"117",475.889172284137,1136.49252193267,-184.714177364401
"118",392.838457864721,1053.60237388616,-267.925458156718
"119",244.710861840576,905.636759438794,-416.215035757642
"120",442.659252405986,1103.74855230093,-218.430047488954
"121",470.697342853079,1131.95147126617,-190.556785560007
"122",440.931322320426,1102.35171095988,-220.489066319024
"123",506.813420028831,1168.40150607487,-154.774666017206
"124",353.900967439406,1015.65819352938,-307.856258650565
"125",459.419755929599,1121.34757014298,-202.508058283786
"126",354.239135427211,1016.33899127054,-307.860720416115
"127",434.614791062945,1096.8881474546,-227.658565328712
"128",385.683666139799,1048.13198739475,-276.764655115157
"129",418.472325276496,1081.09708109091,-244.152430537921
"130",421.831216940293,1084.63388237604,-240.971448495457
"131",420.952419561308,1083.9344750304,-242.029635907779
"132",444.783943069563,1107.94687431844,-218.378988179315
"133",512.237915031796,1175.58321312559,-151.107383061998
"134",512.254581207071,1175.7837425137,-151.274580099561
"135",442.295372756781,1106.009898931,-221.419153417438
"136",571.125392931804,1235.02679089911,-92.776005035505
"137",464.702368220968,1128.79215016146,-199.38741371952
"138",423.236083712814,1087.51576704489,-241.043599619265
"139",473.742724010348,1138.21383137439,-190.728383353698
"140",551.734794648691,1216.39885389059,-112.929264593204
"141",462.061780218895,1126.92032437348,-202.796763935688
"142",591.980207250088,1257.0347745245,-73.0743600243275
"143",381.170219569136,1046.42235332609,-284.081914187823
"144",515.575474359193,1181.02672310013,-149.875774381747
"145",525.877890477951,1191.52980782611,-139.774026870205
"146",488.175376372299,1154.02952105568,-177.678768311081
"147",515.425144600702,1181.48308043496,-150.632791233559
"148",535.783260468246,1202.04655633949,-130.480035402994
"149",506.919388787007,1173.38961863446,-159.550841060444
"150",565.860428848528,1232.53917164716,-100.818313950104
"151",532.412094555249,1203.02036547926,-138.196176368762
"152",478.200982262513,1149.01976540902,-192.617800883999
"153",557.130283097015,1228.16116435176,-113.900598157733
"154",543.559188080179,1214.80375828273,-127.685382122374
"155",519.434107141188,1190.89396206736,-152.025747784979
"156",658.627722640665,1330.30446298482,-13.0490177034912
"157",512.065577781195,1183.96080913851,-159.829653576121
"158",621.016046669016,1293.1313795176,-51.0992861795696
"159",506.143766071034,1178.480815754,-166.193283611928
"160",494.527729992657,1167.08811670007,-178.032656714753
"161",492.24656541965,1165.03191417043,-180.538783331129
"162",481.884890056455,1154.89683068017,-191.127050567255
"163",427.868523336806,1101.10869045536,-245.371643781753
"164",524.39548376812,1197.86551677742,-149.074549241182
"165",447.617892078682,1121.31943513014,-226.083650972776
"166",504.528385252605,1178.4630872346,-169.406316729394
"167",471.296644511874,1145.46615903114,-202.872870007396
"168",388.245930092458,1062.65191545536,-286.160055270446
"169",240.118334068313,914.762453262053,-434.525785125426
"170",438.066724633723,1112.95064530746,-236.817196040014
"171",466.104815080816,1141.23020952672,-209.020579365083
